username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bottom2thatop;2015-09-11 19:21;1;0;"The @BarackObama @MichelleObama @FLOTUS Top 50 Accomplishments http://www. washingtonmonthly.com/magazine/march _april_2012/features/obamas_top_50_accomplishments035755.php … via #BarackObama @washmonthly";;@BarackObama @MichelleObama @FLOTUS @washmonthly;#BarackObama;"642387462929539072";https://twitter.com/Bottom2thatop/status/642387462929539072
JJPriceWriter;2015-09-11 19:13;0;0;"Thank you, President @BarackObama for your thoughtful words today. @POTUS #barackobama #September11 #NeverForget911 https:// twitter.com/POTUS/status/6 42327755221299200 …";;@BarackObama @POTUS;#barackobama #September11 #NeverForget911;"642385502339862528";https://twitter.com/JJPriceWriter/status/642385502339862528
DLDizel;2015-09-11 18:07;0;0;"I got #MyAllergyShots thanks 2 #ObamaCare or the #ACA . @POTUS @BarackObama #BarackObama #Whitehouse @Whitehouse #SCOTUS #Congress";;@POTUS @BarackObama @Whitehouse;#MyAllergyShots #ObamaCare #ACA #BarackObama #Whitehouse #SCOTUS #Congress;"642368787547688960";https://twitter.com/DLDizel/status/642368787547688960
BigGoodJohn;2015-09-11 13:50;0;2;"RT @sscalise88 : @BigGoodJohn ... Did #BarackObama Really Follow You ... Hi! Use http:// doesfollow.com to check @BarackObama does.";;@sscalise88 @BigGoodJohn @BarackObama;#BarackObama;"642304217621864448";https://twitter.com/BigGoodJohn/status/642304217621864448
shashankrats;2015-09-11 07:56;0;0;"Jumpa Lahiri gets National Humanities Medal from @BarackObama #SSR #JumpaLahiri #BarackObama pic.twitter.com/tZ01OE3pc3";;@BarackObama;#SSR #JumpaLahiri #BarackObama;"642215192995082240";https://twitter.com/shashankrats/status/642215192995082240
Inte8ranD;2015-09-11 03:15;0;0;"He goes by the moniker #BarackObama http:// ln.is/www.youtube.co m/v6MrY … @BarackObama";;@BarackObama;#BarackObama;"642144370808999936";https://twitter.com/Inte8ranD/status/642144370808999936
bathb0y;2015-09-11 01:02;0;0;"#Torture #CIA @CIA #USA @usa @USATODAY @USAgov @BarackObama #barackobama #HumanRights @UNrightswire @HumanRightsNews https:// twitter.com/Reuters/status /642108363199901697 …";;@CIA @usa @USATODAY @USAgov @BarackObama @UNrightswire @HumanRightsNews;#Torture #CIA #USA #barackobama #HumanRights;"642110834081169408";https://twitter.com/bathb0y/status/642110834081169408
ROZRN;2015-09-10 00:29;0;1;"@POTUS @BarackObama #barackobama NO SYRIAN AND AFRICAN NEW SO-CALLED "REFUGEES" c @SpeakerBoehner @McConnellPress https:// twitter.com/AmBeachy/statu s/641739425257406464 …";;@POTUS @BarackObama @SpeakerBoehner @McConnellPress;#barackobama;"641740201413488641";https://twitter.com/ROZRN/status/641740201413488641
sarkar_suparno;2015-09-09 18:48;2;0;"@BarackObama Eats Wild Bear's Leftover Fish With @BearGrylls in Alaska [VIDEO] http://www. ibtimes.co.in/barack-obama-e ats-wild-bears-leftover-fish-bear-grylls-alaska-video-645995 … #barackobama #BearGrylls #adventure";;@BarackObama @BearGrylls;#barackobama #BearGrylls #adventure;"641654359625895937";https://twitter.com/sarkar_suparno/status/641654359625895937
TW_nextmedia;2015-09-09 17:30;0;8;"#歐巴馬 @BarackObama 「荒野求生 @BearGrylls ​，吃棕熊吃剩的 http:// bit.ly/1OcYvbA #BarackObama #BearGrylls ​ #NBC ​ #RunningWild pic.twitter.com/2iikWfotmf";;@BarackObama @BearGrylls;#歐巴馬 #BarackObama #BearGrylls #NBC #RunningWild;"641634774436610048";https://twitter.com/TW_nextmedia/status/641634774436610048
EbrahemRash;2015-09-09 10:05;1;0;"Dear @BarackObama , please help Maldives... please foil the assasination plot to kill P.Nasheed #barackobama pic.twitter.com/VFuq5Ztcap";;@BarackObama;#barackobama;"641522714000228353";https://twitter.com/EbrahemRash/status/641522714000228353
vickynimbalkar;2015-09-07 21:34;0;0;"Chilling time for #barackobama #LaborDay #LaborDay2015 #Obama #america @BarackObama #presidentObama #america pic.twitter.com/nXwL6GF4KG";;@BarackObama;#barackobama #LaborDay #LaborDay2015 #Obama #america #presidentObama #america;"640971318263873536";https://twitter.com/vickynimbalkar/status/640971318263873536
