# day;month;sum;weight;mean
7.0;11.0;253.132776354;1886.0;0.134216742499
6.0;11.0;35.603537958;1055.0;0.0337474293441
5.0;11.0;-147.065905979;1461.0;-0.100661126611
4.0;11.0;3020.85080402;4630.0;0.652451577542
3.0;11.0;296.557921458;1155.0;0.256760105158
2.0;11.0;209.953829958;1008.0;0.20828752972
1.0;11.0;794.211787766;4759.0;0.166886276059
31.0;10.0;157.862532574;897.0;0.175989445456
30.0;10.0;42.28947172;295.0;0.143354141424
29.0;10.0;52.675675952;272.0;0.193660573353
28.0;10.0;388.390985098;1201.0;0.323389662863
27.0;10.0;142.195624209;1067.0;0.133266751836
26.0;10.0;51.650037591;688.0;0.0750727290567
25.0;10.0;-49.45885246;1339.0;-0.0369371564302
24.0;10.0;522.118807666;1216.0;0.429374019462
23.0;10.0;1079.29856581;3125.0;0.34537554106
22.0;10.0;33.171762039;552.0;0.0600937718098
21.0;10.0;43.165982705;1059.0;0.0407610790415
20.0;10.0;621.48491023;4537.0;0.136981465777
19.0;10.0;545.243552641;4272.0;0.127631917753
18.0;10.0;354.467800494;4566.0;0.0776320193811
17.0;10.0;459.503063862;10973.0;0.0418757918402
16.0;10.0;21.827480759;300.0;0.0727582691967
15.0;10.0;59.061464756;703.0;0.0840134633798
14.0;10.0;300.431397201;2236.0;0.134361089983
13.0;10.0;1193.01103685;5600.0;0.213037685153
12.0;10.0;379.171309103;6384.0;0.0593940020525
11.0;10.0;2005.9208648;8936.0;0.224476372516
10.0;10.0;512.168029937;2610.0;0.196232961662
9.0;10.0;219.523135803;8934.0;0.0245716516457
8.0;10.0;18240.4643505;65759.0;0.277383542184
7.0;10.0;57.622056684;1005.0;0.0573353797851
6.0;10.0;150.152282343;1496.0;0.100369172689
5.0;10.0;18050.3045787;43776.0;0.412333346552
4.0;10.0;112.770537324;679.0;0.166083265573
3.0;10.0;27.289053492;607.0;0.0449572545173
2.0;10.0;94.763460499;543.0;0.17451834346
1.0;10.0;-225.370079353;695.0;-0.324273495472
30.0;9.0;670.285260351;1675.0;0.400170304687
29.0;9.0;1203.17508277;1876.0;0.64135132344
28.0;9.0;107.836878664;1429.0;0.075463176112
27.0;9.0;100.98661578;891.0;0.113340758451
26.0;9.0;117.861746026;731.0;0.161233578695
25.0;9.0;-81.709559883;250.0;-0.326838239532
24.0;9.0;132.441215269;325.0;0.407511431597
23.0;9.0;84.601651913;415.0;0.2038594022
22.0;9.0;311.40925051;889.0;0.350291620371
21.0;9.0;390.753653541;1814.0;0.215409952338
20.0;9.0;80.607921114;1125.0;0.0716514854347
19.0;9.0;-142.913653706;925.0;-0.15450124725
18.0;9.0;1022.65699007;2341.0;0.436846215321
17.0;9.0;-26.99491244;1585.0;-0.0170314904984
16.0;9.0;337.153937561;735.0;0.458712840219
15.0;9.0;369.304252884;988.0;0.37378972964
14.0;9.0;232.399754052;851.0;0.273090192776
13.0;9.0;116.153787888;572.0;0.203066062741
12.0;9.0;554.339768678;1631.0;0.339877234015
11.0;9.0;137.7332714;276.0;0.499033592029
10.0;9.0;286.20049089;786.0;0.364122761947
9.0;9.0;300.232784027;1664.0;0.180428355785
8.0;9.0;172.934157449;848.0;0.203931789445
